exchange,market_types,spot_project,contract_project,official_gap_check,public_ws_support,private_ws_support,public_ws_channels,private_ws_channels,orderbook_channels,ws_push_interval_evidence,ws_depth_evidence,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,ws_gap,mapping,doc,get_symbol_rules,get_order_book,get_balances,get_positions,get_fees,place_order,place_quote_market_order,cancel_order,amend_order,place_order_list,batch_place_orders,batch_cancel_orders,cancel_all_orders,query_order,get_open_orders,get_recent_fills
biconomy,spot,声明,项目未实现,"项目未实现 contract_product,futures_product",spec_only,spec_only,"deals.subscribe,depth.subscribe,depth.subscribe:{symbol}:{depth}:{precision},kline.subscribe,state.subscribe",,"depth.subscribe,depth.subscribe:{symbol}:{depth}:{precision}",,"5,10,15,20,30,50,100",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/biconomy/endpoint_mapping.yaml,docs/交易所网关/适配器/biconomy_adapter.md,运行,运行,运行,-,运行,运行,-,运行,不支持,不支持,运行,运行,-,运行,运行,运行
bigone,"perpetual,spot",声明,声明,,parser_only,parser_only,"MarketDepth,changeId,client_ping_15000ms,depth,no fixed ms,parser_only,prevId,rest_snapshot,snapshot_then_update,subscribeMarketDepthRequest,tests/fixtures/exchanges/bigone/ws_public_depth.json,unspecified,websocket","MarketDepth,subscribeMarketDepthRequest","MarketDepth,depth,subscribeMarketDepthRequest,tests/fixtures/exchanges/bigone/ws_public_depth.json",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bigone/endpoint_mapping.yaml,docs/交易所网关/适配器/bigone_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
binance,"perpetual,spot",声明,声明,项目未实现 options_product,rest_fallback,unsupported,"1,10,100,1000,20,5,<symbol>@bookTicker,<symbol>@depth5|10|20[@100ms],<symbol>@depth[@100ms],U/u,book_ticker,delta,depth,diff_depth,lastUpdateId,none,partial_depth,perpetual,public_orderbook_spot,public_orderbook_usdm,realtime,spot,subscribe_public_stream,u","public_orderbook_spot,public_orderbook_usdm,subscribe_public_stream","<symbol>@bookTicker,<symbol>@depth5|10|20[@100ms],<symbol>@depth[@100ms],book_ticker,depth,diff_depth,partial_depth,public_orderbook_spot,public_orderbook_usdm","100ms,1000ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/binance/endpoint_mapping.yaml,docs/交易所网关/适配器/binance_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行
binancecoinm,"futures,perpetual",不支持,声明,,spec_only,unsupported,"{symbol}@depth,{symbol}@depth10,{symbol}@depth10@100ms,{symbol}@depth10@500ms,{symbol}@depth20,{symbol}@depth20@100ms,{symbol}@depth20@500ms,{symbol}@depth5,{symbol}@depth5@100ms,{symbol}@depth5@500ms,{symbol}@depth@100ms,{symbol}@depth@250ms,{symbol}@depth@500ms",,"{symbol}@depth,{symbol}@depth10,{symbol}@depth10@100ms,{symbol}@depth10@500ms,{symbol}@depth20,{symbol}@depth20@100ms,{symbol}@depth20@500ms,{symbol}@depth5,{symbol}@depth5@100ms,{symbol}@depth5@500ms,{symbol}@depth@100ms,{symbol}@depth@250ms,{symbol}@depth@500ms","100ms,250ms,500ms","5,10,20",100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/binancecoinm/endpoint_mapping.yaml,docs/交易所网关/适配器/binancecoinm_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,运行,运行,运行,运行
binanceus,spot,声明,不支持,,spec_only,unsupported,"1,10,100,1000,20,5,<symbol>@bookTicker,<symbol>@depth10@100ms,<symbol>@depth20@100ms,<symbol>@depth5@100ms,<symbol>@depth5|10|20[@100ms],<symbol>@depth@1000ms,<symbol>@depth@100ms,<symbol>@depth[@100ms],U,book_ticker,delta,depth,diff_depth,lastUpdateId,none,partial_depth,public_orderbook_spot,realtime,spot,subscribe_public_stream,u","public_orderbook_spot,subscribe_public_stream","<symbol>@bookTicker,<symbol>@depth10@100ms,<symbol>@depth20@100ms,<symbol>@depth5@100ms,<symbol>@depth5|10|20[@100ms],<symbol>@depth@1000ms,<symbol>@depth@100ms,<symbol>@depth[@100ms],book_ticker,depth,diff_depth,partial_depth,public_orderbook_spot","100ms,1000ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/binanceus/endpoint_mapping.yaml,docs/交易所网关/适配器/binanceus_adapter.md,运行,运行,运行,-,运行,运行,运行,运行,不支持,不支持,不支持,不支持,运行,运行,运行,运行
bingx,"perpetual,spot",声明,声明,,parser_only,parser_only,"candles,order_book_delta,order_book_snapshot,ticker,trades","account,balances,fills,orders,positions","order_book_delta,order_book_snapshot",500ms,"5,50",500,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bingx/endpoint_mapping.yaml,docs/交易所网关/适配器/bingx_adapter.md,运行,运行,运行,运行,运行,运行,映射,运行,运行,运行,运行,运行,运行,运行,运行,运行
bit2c,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/bit2c/endpoint_mapping.yaml,docs/交易所网关/适配器/bit2c_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,-
bitbank,spot,声明,不支持,项目未实现 margin_product,native,native,"depth_diff_{pair},depth_whole_{pair}",,"depth_diff_{pair},depth_whole_{pair}",,200,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitbank/endpoint_mapping.yaml,docs/交易所网关/适配器/bitbank_adapter.md,运行,运行,运行,-,离线,离线,-,离线,不支持,不支持,不支持,运行,-,运行,运行,运行
bitbns,spot,声明,不支持,项目未实现 margin_product,spec_only,unsupported,,,,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitbns/endpoint_mapping.yaml,docs/交易所网关/适配器/bitbns_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
bitfinex,"margin,perpetual,spot",声明,声明,,spec_only,spec_only,book,,book,"2s,60000ms","1,25,100,240,250",2000,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitfinex/endpoint_mapping.yaml,docs/交易所网关/适配器/bitfinex_adapter.md,运行,运行,运行,运行,不支持,运行,-,运行,不支持,不支持,不支持,运行,运行,运行,运行,运行
bitflyer,"margin,spot",声明,项目未实现,"项目未实现 cfd_fx_product,contract_product",native,native,"lightning_board_snapshot_{product_code},lightning_board_{product_code},lightning_executions_{product_code},lightning_ticker_{product_code},orderbook:lightning_board_snapshot_{product_code},orderbook:lightning_board_{product_code}",,"orderbook:lightning_board_snapshot_{product_code},orderbook:lightning_board_{product_code}",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitflyer/endpoint_mapping.yaml,docs/交易所网关/适配器/bitflyer_adapter.md,运行,运行,离线,-,离线,离线,-,离线,不支持,不支持,组合,组合,离线,运行,运行,运行
bitget,"perpetual,spot",声明,声明,"项目未实现 coin_futures_product,margin_product,usdc_futures_product",native,unsupported,"books1,books15,books5,public_order_book_books1,public_order_book_books15,public_order_book_books5","books1,books15,books5,public_order_book_books1,public_order_book_books15,public_order_book_books5","books1,books15,books5,public_order_book_books1,public_order_book_books15,public_order_book_books5","10ms,200ms","1,5,15",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitget/endpoint_mapping.yaml,docs/交易所网关/适配器/bitget_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,运行,不支持,组合,组合,运行,运行,运行,运行
bithumb,spot,声明,不支持,,native,native,orderbook,,orderbook,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bithumb/endpoint_mapping.yaml,docs/交易所网关/适配器/bithumb_adapter.md,运行,运行,原生,不支持,原生,原生,-,原生,不支持,不支持,不支持,不支持,不支持,原生,原生,原生
bitkan,"perpetual,spot",声明,声明,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/bitkan/endpoint_mapping.yaml,docs/交易所网关/适配器/bitkan_adapter.md,不支持,不支持,离线,不支持,不支持,不支持,-,不支持,不支持,不支持,不支持,不支持,-,不支持,不支持,不支持
bitmart,"perpetual,spot",声明,声明,,spec_only,spec_only,"100,20,5,50,500,Real-time best bid/ask changes.,absolute,depth,full_depth_snapshot,incremental_depth,partial_depth,snapshot,spot/bookTicker:{symbol},spot/depth/increase100:{symbol},spot/depth20:{symbol},spot/depth50:{symbol},spot/depth5:{symbol},update",,"depth,full_depth_snapshot,incremental_depth,partial_depth,spot/bookTicker:{symbol},spot/depth/increase100:{symbol},spot/depth20:{symbol},spot/depth50:{symbol},spot/depth5:{symbol}","100ms,500ms","1,5,20,50,100",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitmart/endpoint_mapping.yaml,docs/交易所网关/适配器/bitmart_adapter.md,运行,运行,运行,运行,离线,运行,原生,运行,不支持,不支持,不支持,运行,运行,运行,运行,运行
bitmex,"perpetual,spot",声明,声明,,native,native,"orderBook10,orderBookL2,orderBookL2_25,quote,trade,tradeBin1d,tradeBin1h,tradeBin1m,tradeBin5m","execution,margin,order,position,wallet","orderBook10,orderBookL2,orderBookL2_25",100ms,"2,10,25",100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitmex/endpoint_mapping.yaml,docs/交易所网关/适配器/bitmex_adapter.md,原生,原生,原生,原生,原生,原生,-,原生,原生,不支持,原生,原生,原生,原生,原生,原生
bitopro,spot,声明,不支持,,native,native,"/v1/pub/order-books/{PAIR}:{limit},/v1/pub/tickers/{PAIR},/v1/pub/trades/{PAIR},order_book_snapshot,public_orderbook_snapshot","/v1/pub/auth/account-balance,/v1/pub/auth/orders,/v1/pub/auth/orders/histories,/v1/pub/auth/user-trades,/v1/pub/order-books/{PAIR}:{limit},public_orderbook_snapshot","/v1/pub/order-books/{PAIR}:{limit},order_book_snapshot,public_orderbook_snapshot","1s,1000ms","1,5,10,20,30,50",1000,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitopro/endpoint_mapping.yaml,docs/交易所网关/适配器/bitopro_adapter.md,运行,运行,运行,-,离线,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
bitrue,"perpetual,spot",声明,声明,,parser_only,parser_only,market_${symbol}_simple_depth_step0,,market_${symbol}_simple_depth_step0,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitrue/endpoint_mapping.yaml,docs/交易所网关/适配器/bitrue_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,-,-,运行,运行
bitso,spot,声明,不支持,项目未实现 margin_product,spec_only,unsupported,"diff-orders,orderbook:diff-orders,orderbook:orders,orders,trades",,"orderbook:diff-orders,orderbook:orders",,20,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitso/endpoint_mapping.yaml,docs/交易所网关/适配器/bitso_adapter.md,离线,离线,离线,-,离线,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
bitstamp,spot,声明,项目未实现,"项目未实现 contract_product,derivatives_product",native,declared,"diff_order_book,diff_order_book_{market_symbol},live_trades,order_book,order_book_{market_symbol}","private-my_orders,private-user","diff_order_book,diff_order_book_{market_symbol},order_book,order_book_{market_symbol}",,1,,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitstamp/endpoint_mapping.yaml,docs/交易所网关/适配器/bitstamp_adapter.md,运行,运行,运行,-,运行,运行,-,运行,运行,不支持,不支持,不支持,运行,运行,运行,运行
bitteam,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/bitteam/endpoint_mapping.yaml,docs/交易所网关/适配器/bitteam_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
bittrade,spot,声明,不支持,,native,spec_only,"bbo,market.{symbol}.bbo,market.{symbol}.depth.step0,market.{symbol}.depth.step1,market.{symbol}.depth.step2,market.{symbol}.depth.step3,market.{symbol}.depth.step4,market.{symbol}.depth.step5,market.{symbol}.kline.{period},market.{symbol}.trade.detail,order_book","accounts.update#{mode},orders#{symbol},trade.clearing#{symbol}#{mode}","bbo,market.{symbol}.bbo,market.{symbol}.depth.step0,market.{symbol}.depth.step1,market.{symbol}.depth.step2,market.{symbol}.depth.step3,market.{symbol}.depth.step4,market.{symbol}.depth.step5,order_book",,1,,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bittrade/endpoint_mapping.yaml,docs/交易所网关/适配器/bittrade_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,映射,-,运行,运行,运行
bitunix,"perpetual,spot",声明,声明,,spec_only,spec_only,"depth_book1,depth_book15,depth_book5,depth_books",,"depth_book1,depth_book15,depth_book5,depth_books",15s,"1,5,15",15000,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitunix/endpoint_mapping.yaml,docs/交易所网关/适配器/bitunix_adapter.md,运行,运行,运行,运行,不支持,运行,-,运行,运行,不支持,运行,运行,-,-,运行,运行
bitvavo,spot,声明,不支持,,native,native,"book,candles,subscribe_public_order_book,ticker,trades","account,book,subscribe_public_order_book","book,subscribe_public_order_book",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bitvavo/endpoint_mapping.yaml,docs/交易所网关/适配器/bitvavo_adapter.md,运行,运行,运行,-,运行,运行,-,运行,-,-,-,-,运行,运行,运行,运行
blockchaincom,spot,声明,不支持,项目未实现 perps_third_party_product,native,native,"heartbeat,l2,l2_order_book,l3,l3_order_book,prices,symbols,ticker,trades","auth,balances,trading","l2_order_book,l3_order_book",,"2,3",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/blockchaincom/endpoint_mapping.yaml,docs/交易所网关/适配器/blockchaincom_adapter.md,运行,运行,运行,-,运行,离线,-,离线,不支持,不支持,不支持,不支持,离线,运行,运行,运行
blofin,perpetual,项目未实现,声明,项目未实现 spot_product,native,native,"books,books5,candle,funding-rate,tickers,trades","account,orders,orders-algo,positions","books,books5",100ms,"5,200",100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/blofin/endpoint_mapping.yaml,docs/交易所网关/适配器/blofin_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
bsx,perpetual,项目未实现,声明,项目未实现 spot_product,spec_only,unsupported,"book,public_orderbook_delta","book,orders/account,private_user_events,public_orderbook_delta","book,public_orderbook_delta","25ms,60000ms",,25,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bsx/endpoint_mapping.yaml,docs/交易所网关/适配器/bsx_adapter.md,运行,运行,离线,离线,离线,离线,-,离线,离线,不支持,不支持,离线,不支持,运行,运行,运行
btcbox,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/btcbox/endpoint_mapping.yaml,docs/交易所网关/适配器/btcbox_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,-
btcmarkets,spot,声明,不支持,,spec_only,spec_only,"orderbook,subscribe_public_order_book,trade","fund_change,order_change,orderbook,subscribe_public_order_book","orderbook,subscribe_public_order_book",5000ms,50,5000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/btcmarkets/endpoint_mapping.yaml,docs/交易所网关/适配器/btcmarkets_adapter.md,运行,运行,运行,-,运行,运行,运行,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
btcturk,spot,声明,不支持,,native,spec_only,"obdiff,orderbook",,orderbook,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/btcturk/endpoint_mapping.yaml,docs/交易所网关/适配器/btcturk_adapter.md,运行,运行,离线,-,离线,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
bullish,"futures,perpetual,spot",声明,声明,,native,jwt_cookie_required,"l1Orderbook,l2Orderbook,tick,trades","assetAccounts,derivativesPositions,orders,trades","l1Orderbook,l2Orderbook",,"1,2",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bullish/endpoint_mapping.yaml,docs/交易所网关/适配器/bullish_adapter.md,原生,原生,离线,离线,离线,离线,不支持,离线,离线,不支持,不支持,不支持,离线,-,离线,离线
bybit,"futures,perpetual,spot",声明,声明,,native,spec_only,"kline.1,orderbook.1,orderbook.1000,orderbook.200,orderbook.50,orderbook.{depth}.{symbol},publicTrade,tickers","execution,order,position,wallet","orderbook.1,orderbook.1000,orderbook.200,orderbook.50,orderbook.{depth}.{symbol}","10ms,20ms,100ms,200ms","1,25,50,100,200,1000",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bybit/endpoint_mapping.yaml,docs/交易所网关/适配器/bybit_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,运行,运行,运行,运行
bybiteu,"futures,perpetual,spot",声明,声明,,spec_only,unsupported,"kline.1,orderbook.1,orderbook.1000,orderbook.200,orderbook.50,publicTrade,tickers",,"orderbook.1,orderbook.1000,orderbook.200,orderbook.50","10ms,20ms,100ms,200ms","1,3,25,50,100,200,1000",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bybiteu/endpoint_mapping.yaml,docs/交易所网关/适配器/bybiteu_adapter.md,映射,映射,原生,原生,原生,原生,-,原生,不支持,不支持,不支持,不支持,原生,原生,原生,原生
bydfi,"perpetual,spot",声明,声明,,native,unsupported,"depth,depth10,depth100,depth50",,"depth,depth10,depth100,depth50","100ms,1000ms","10,50,100",100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/bydfi/endpoint_mapping.yaml,docs/交易所网关/适配器/bydfi_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,运行,运行,运行,运行
cex,spot,声明,不支持,,spec_only,unsupported,"order_book_increment,order_book_subscribe",,"order_book_increment,order_book_subscribe",,"0,1,2,25",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/cex/endpoint_mapping.yaml,docs/交易所网关/适配器/cex_adapter.md,运行,运行,离线,-,离线,离线,-,离线,不支持,不支持,不支持,不支持,离线,运行,运行,运行
cod3x,perpetual,不支持,声明,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/cod3x/endpoint_mapping.yaml,docs/交易所网关/适配器/cod3x_adapter.md,不支持,不支持,离线,不支持,不支持,不支持,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
coinbase,"perpetual,spot",声明,声明,,native,native,"absolute new_quantity at changed price levels; quantity 0 deletes the level,candles,depth,event_driven,full_level2_delta,heartbeats,interval_param,level2,market_trades,next sequence_num must be previous sequence_num + 1 after initial snapshot,none,orderbook_level2,perpetual,reconnect_resubscribe_and_fetch_rest_product_book_snapshot,sequence_num,snapshot,spot,subscribe level2 plus heartbeats, fetch REST /api/v3/brokerage/product_book on connect/reconnect or sequence_num gap/regression,ticker,update",,"depth,orderbook_level2,reconnect_resubscribe_and_fetch_rest_product_book_snapshot,subscribe level2 plus heartbeats, fetch REST /api/v3/brokerage/product_book on connect/reconnect or sequence_num gap/regression",,2,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinbase/endpoint_mapping.yaml,docs/交易所网关/适配器/coinbase_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,-,-,-,运行
