adapter,market_types,spot_project,contract_project,core_ops,public_ws_support,ws_gap,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,confirmed_tasks,confirmed_task_priorities,confirmed_task_categories,remaining_checks,remaining_check_priorities,remaining_check_categories,workload_score,next_action,doc,mapping
d8x,perpetual,未声明,声明,2/9,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:4,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,position:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/d8x_adapter.md,crates/rustcta-exchange-gateway/src/adapters/d8x/endpoint_mapping.yaml
derive_chain_perps,perpetual,未声明,声明,0/9,未声明,公共WS未声明,,否,公共WS未接入/未声明,7,"P2:4,P3:2,P4:1","account_state_unsupported:1,advanced_trading_unsupported:1,core_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/derive_chain_perps_adapter.md,crates/rustcta-exchange-gateway/src/adapters/derive_chain_perps/endpoint_mapping.yaml
equation,perpetual,未声明,声明,0/9,未声明,公共WS未声明,,否,公共WS未接入/未声明,7,"P2:4,P3:2,P4:1","account_state_unsupported:1,advanced_trading_unsupported:1,core_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/equation_adapter.md,crates/rustcta-exchange-gateway/src/adapters/equation/endpoint_mapping.yaml
mango_markets,"margin,perpetual",未声明,声明,0/9,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:4,P3:2,P4:1","account_state:1,advanced_trading:1,core_trading:1,fee:1,position:1,product_line:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/mango_markets_adapter.md,crates/rustcta-exchange-gateway/src/adapters/mango_markets/endpoint_mapping.yaml
zeta_markets,perpetual,未声明,声明,2/9,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,7,"P2:4,P3:2,P4:1","account_state_unsupported:1,advanced_trading_unsupported:1,core_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_unsupported:1",0,-,-,123,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/zeta_markets_adapter.md,crates/rustcta-exchange-gateway/src/adapters/zeta_markets/endpoint_mapping.yaml
bybit,"futures,perpetual,spot",声明,声明,9/9,native,缺推流间隔,,是,缺推流间隔证据,3,"P0:1,P3:1,P4:1","advanced_trading:1,fee:1,public_ws:1",0,-,-,113,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/bybit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bybit/endpoint_mapping.yaml
aark,perpetual,未声明,声明,1/9,spec_only,缺档位,200,否,慢速盘口/需评估,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee:1,position:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/aark_adapter.md,crates/rustcta-exchange-gateway/src/adapters/aark/endpoint_mapping.yaml
aftermath,perpetual,未声明,声明,2/9,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,position:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/aftermath_adapter.md,crates/rustcta-exchange-gateway/src/adapters/aftermath/endpoint_mapping.yaml
bitbns,spot,声明,未声明,2/8,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitbns_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitbns/endpoint_mapping.yaml
bsx,perpetual,未声明,声明,2/9,spec_only,缺档位,25,否,百毫秒盘口候选,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,fee:1,position_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bsx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bsx/endpoint_mapping.yaml
grvt,"option,perpetual",未声明,声明,0/9,parser_only,缺档位,500,否,慢速盘口/需评估,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading:1,core_trading:1,explicit_unsupported:1,fee:1,position:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/grvt_adapter.md,crates/rustcta-exchange-gateway/src/adapters/grvt/endpoint_mapping.yaml
hibachi,perpetual,未声明,声明,2/9,parser_only,缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading:1,core_trading:1,explicit_unsupported:1,fee:1,position:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/hibachi_adapter.md,crates/rustcta-exchange-gateway/src/adapters/hibachi/endpoint_mapping.yaml
lighter,perpetual,未声明,声明,0/9,parser_only,缺推流间隔；缺档位,,否,缺推流间隔证据,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading:1,core_trading:1,fee:1,position:1,product_line:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/lighter_adapter.md,crates/rustcta-exchange-gateway/src/adapters/lighter/endpoint_mapping.yaml
modetrade,perpetual,未声明,声明,1/9,spec_only,缺档位,200,否,慢速盘口/需评估,7,"P2:3,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee:1,position:1,public_ws_struct:1",0,-,-,108,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/modetrade_adapter.md,crates/rustcta-exchange-gateway/src/adapters/modetrade/endpoint_mapping.yaml
coinw,"perpetual,spot",声明,声明,9/9,parser_only,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,2,"P0:1,P4:1","advanced_trading:1,public_ws:1",0,-,-,103,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/coinw_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinw/endpoint_mapping.yaml
htx,"perpetual,spot,spot | linear_perp",声明,声明,9/9,declared,缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P0:1,P4:1","advanced_trading:1,public_ws:1",0,-,-,103,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/htx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/htx/endpoint_mapping.yaml
lbank,"perpetual,spot",声明,声明,9/9,native,缺推流间隔,,是,缺推流间隔证据,2,"P0:1,P4:1","advanced_trading:1,public_ws:1",0,-,-,103,先做已确认 P0 公共订单簿 WS 补全,docs/交易所网关/适配器/lbank_adapter.md,crates/rustcta-exchange-gateway/src/adapters/lbank/endpoint_mapping.yaml
bitkan,"perpetual,spot",声明,声明,0/9,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state_unsupported:1,advanced_trading_unsupported:1,core_trading_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_unsupported:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitkan_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitkan/endpoint_mapping.yaml
bitteam,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_unsupported:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitteam_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitteam/endpoint_mapping.yaml
cex,spot,声明,未声明,2/8,未声明,公共WS未声明,,是,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee:1,public_ws:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/cex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/cex/endpoint_mapping.yaml
latoken,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading:1,core_trading:1,fee:1,product_line:1,public_ws:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/latoken_adapter.md,crates/rustcta-exchange-gateway/src/adapters/latoken/endpoint_mapping.yaml
p2b,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,1000,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/p2b_adapter.md,crates/rustcta-exchange-gateway/src/adapters/p2b/endpoint_mapping.yaml
paymium,spot,声明,未声明,2/8,未声明,公共WS未声明,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/paymium_adapter.md,crates/rustcta-exchange-gateway/src/adapters/paymium/endpoint_mapping.yaml
yobit,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee:1,public_ws_unsupported:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/yobit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/yobit/endpoint_mapping.yaml
zebpay,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,6,"P2:3,P3:2,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,fee:1,product_line:1,public_ws_unsupported:1",0,-,-,98,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/zebpay_adapter.md,crates/rustcta-exchange-gateway/src/adapters/zebpay/endpoint_mapping.yaml
indodax,spot,声明,未声明,7/8,未声明,公共WS未声明,,否,公共WS未接入/未声明,5,"P2:3,P3:1,P4:1","advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_unsupported:1",0,-,-,88,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/indodax_adapter.md,crates/rustcta-exchange-gateway/src/adapters/indodax/endpoint_mapping.yaml
bybiteu,"futures,perpetual,spot",声明,声明,2/9,spec_only,已记录核心细项,10,是,极速L1候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,fee:1,position:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bybiteu_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bybiteu/endpoint_mapping.yaml
fmfwio,spot,声明,未声明,2/8,spec_only,缺订单簿channel,100,是,百毫秒盘口候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/fmfwio_adapter.md,crates/rustcta-exchange-gateway/src/adapters/fmfwio/endpoint_mapping.yaml
hitbtc,spot,声明,未声明,2/8,spec_only,缺订单簿channel,100,是,百毫秒盘口候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/hitbtc_adapter.md,crates/rustcta-exchange-gateway/src/adapters/hitbtc/endpoint_mapping.yaml
hollaex,spot,声明,未声明,2/8,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/hollaex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/hollaex/endpoint_mapping.yaml
myokx,spot,声明,未声明,2/8,payload_spec,已记录核心细项,10,是,极速L1候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading:1,core_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/myokx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/myokx/endpoint_mapping.yaml
okxus,spot,声明,未声明,2/8,spec_only,已记录核心细项,10,是,极速L1候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading:1,core_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/okxus_adapter.md,crates/rustcta-exchange-gateway/src/adapters/okxus/endpoint_mapping.yaml
oxfun,"option,perpetual",未声明,声明,0/9,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,6,"P2:2,P3:3,P4:1","account_state_unsupported:1,advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,position_unsupported:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/oxfun_adapter.md,crates/rustcta-exchange-gateway/src/adapters/oxfun/endpoint_mapping.yaml
wavesexchange,spot,声明,未声明,2/8,spec_only,缺订单簿channel；缺档位,100,否,百毫秒盘口候选,6,"P2:2,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,83,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/wavesexchange_adapter.md,crates/rustcta-exchange-gateway/src/adapters/wavesexchange/endpoint_mapping.yaml
coinspot,spot,声明,未声明,6/8,未声明,公共WS未声明,,否,公共WS未接入/未声明,4,"P2:3,P4:1","advanced_trading_unsupported:1,core_trading:1,explicit_unsupported:1,public_ws_unsupported:1",0,-,-,78,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinspot_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinspot/endpoint_mapping.yaml
deribit,"futures,option,perpetual",未声明,声明,9/9,native,缺订单簿channel；缺档位,100,否,百毫秒盘口候选,4,"P1:1,P2:1,P3:1,P4:1","advanced_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,78,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/deribit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/deribit/endpoint_mapping.yaml
apex,perpetual,未声明,声明,2/9,native,缺推流间隔,,否,缺推流间隔证据,5,"P2:2,P3:2,P4:1","advanced_trading_unsupported:1,core_trading:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,73,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/apex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/apex/endpoint_mapping.yaml
bitso,spot,声明,未声明,0/8,payload_helper,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,5,"P2:2,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,73,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitso_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitso/endpoint_mapping.yaml
coinmetro,spot,声明,未声明,8/8,native,缺推流间隔,,是,缺推流间隔证据,5,"P2:2,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,73,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinmetro_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinmetro/endpoint_mapping.yaml
dydx,perpetual,未声明,声明,6/9,native,缺推流间隔；缺档位,,否,缺推流间隔证据,5,"P2:2,P3:2,P4:1","advanced_trading:1,core_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,73,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/dydx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/dydx/endpoint_mapping.yaml
ndax,spot,声明,未声明,2/8,payload_helper,缺订单簿channel；缺推流间隔,,是,缺推流间隔证据,5,"P2:2,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,73,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/ndax_adapter.md,crates/rustcta-exchange-gateway/src/adapters/ndax/endpoint_mapping.yaml
coinbaseexchange,spot,声明,未声明,8/8,native,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,3,"P1:1,P2:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,68,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/coinbaseexchange_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinbaseexchange/endpoint_mapping.yaml
bit2c,spot,声明,未声明,2/8,未声明,公共WS未声明,,否,公共WS未接入/未声明,4,"P2:2,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,public_ws_unsupported:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bit2c_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bit2c/endpoint_mapping.yaml
bitbank,spot,声明,未声明,8/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:2,P3:1,P4:1","advanced_trading:1,explicit_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitbank_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitbank/endpoint_mapping.yaml
blockchaincom,spot,声明,未声明,2/8,spec_only,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,4,"P2:2,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/blockchaincom_adapter.md,crates/rustcta-exchange-gateway/src/adapters/blockchaincom/endpoint_mapping.yaml
btcbox,spot,声明,未声明,2/8,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,4,"P2:2,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,public_ws_unsupported:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/btcbox_adapter.md,crates/rustcta-exchange-gateway/src/adapters/btcbox/endpoint_mapping.yaml
exmo,spot,声明,未声明,8/8,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:2,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/exmo_adapter.md,crates/rustcta-exchange-gateway/src/adapters/exmo/endpoint_mapping.yaml
independentreserve,spot,声明,未声明,8/8,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:2,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,63,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/independentreserve_adapter.md,crates/rustcta-exchange-gateway/src/adapters/independentreserve/endpoint_mapping.yaml
pacifica,perpetual,未声明,声明,2/9,spec_only,缺推流间隔,,是,缺推流间隔证据,5,"P2:1,P3:3,P4:1","account_state_unsupported:1,advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,58,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/pacifica_adapter.md,crates/rustcta-exchange-gateway/src/adapters/pacifica/endpoint_mapping.yaml
paradex,"option,perpetual",未声明,声明,4/9,native,缺推流间隔,,是,缺推流间隔证据,5,"P2:1,P3:3,P4:1","account_state:1,advanced_trading_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,58,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/paradex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/paradex/endpoint_mapping.yaml
coinbase,"perpetual,spot",声明,声明,7/9,native,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,3,"P1:1,P3:1,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,53,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/coinbase_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinbase/endpoint_mapping.yaml
coinsph,spot,声明,未声明,8/8,未声明,公共WS未声明,100,是,公共WS未接入/未声明,3,"P2:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws:1",0,-,-,53,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinsph_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinsph/endpoint_mapping.yaml
woo,"perpetual,spot",声明,声明,7/9,native,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,3,"P1:1,P3:1,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,53,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/woo_adapter.md,crates/rustcta-exchange-gateway/src/adapters/woo/endpoint_mapping.yaml
alpaca,spot,声明,未声明,7/8,native,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/alpaca_adapter.md,crates/rustcta-exchange-gateway/src/adapters/alpaca/endpoint_mapping.yaml
biconomy,spot,声明,未声明,8/8,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/biconomy_adapter.md,crates/rustcta-exchange-gateway/src/adapters/biconomy/endpoint_mapping.yaml
bitopro,spot,声明,未声明,6/8,native,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitopro_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitopro/endpoint_mapping.yaml
bittrade,spot,声明,未声明,8/8,native,缺订单簿channel；缺推流间隔,,是,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bittrade_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bittrade/endpoint_mapping.yaml
